provincia,tasa_diabetes_pct,obesidad_pct,inactividad_fisica_pct,tabaquismo_pct,presion_elevada_pct,colesterol_elevado_pct,consumo_frutas_verduras_pct,tratamiento_diabetes_pct,medicion_glucemia_pct,nbi_2010_pct,pobreza_personas_pct,sin_cobertura_salud_pct,densidad_hab_km2,log_densidad,region,cv_diabetes_pct
Buenos Aires,13.1,25.5,46.0,23.1,35.3,27.9,6.5,49.6,79.6,8.14096156496191,29.939999999999998,35.1,57.27,1.7579271831133292,Pampeana y GBA,5.3
CABA,8.8,17.0,32.4,17.5,26.6,29.6,8.2,55.3,92.9,5.983824493493802,12.6,16.31,15169.0,4.180956951334075,Pampeana y GBA,10.2
Catamarca,11.5,29.5,58.1,23.5,35.8,34.5,11.8,55.8,67.9,11.3450900511453,35.5,40.67,4.23,0.6263403673750424,Noroeste,11.6
Chaco,10.3,20.0,57.3,15.4,36.9,33.0,4.7,54.2,60.3,18.1621666863138,41.4,52.22,11.32,1.0538464268522527,Noreste,11.2
Chubut,12.4,26.7,34.3,23.4,30.4,21.2,3.8,38.3,71.8,8.44620770395633,28.65,27.84,2.64,0.42160392686983106,Patagonia,11.2
Corrientes,13.3,24.1,40.2,14.9,40.2,31.8,3.4,44.2,69.8,15.096509669637822,49.3,43.76,13.61,1.1338581252033346,Noreste,9.8
Córdoba,13.7,24.5,46.9,26.7,34.4,27.2,4.9,51.8,81.8,6.005564800071329,32.9,34.17,23.3,1.3673559210260189,Pampeana y GBA,8.3
Entre Ríos,10.8,25.0,40.0,22.7,39.5,28.9,3.7,59.5,76.6,8.048336403453819,35.65,35.64,18.21,1.26030994579492,Pampeana y GBA,6.9
Formosa,12.1,25.7,69.1,18.5,52.2,25.7,12.9,62.6,61.1,19.73086819241214,32.5,55.88,8.05,0.9057958803678685,Noreste,10.3
Jujuy,8.9,31.1,29.4,18.8,26.7,36.3,4.3,48.7,71.3,15.462978869610033,31.7,46.24,15.26,1.1835545336188618,Noroeste,11.7
La Pampa,14.6,25.8,56.2,20.8,35.4,31.8,22.8,32.7,76.0,3.788286865910062,32.1,32.05,2.52,0.4014005407815441,Pampeana y GBA,12.0
La Rioja,15.1,28.1,61.2,20.9,33.9,32.1,6.9,66.2,66.6,12.2406778488864,30.5,41.54,4.2,0.6232492903979004,Noroeste,12.3
Mendoza,12.7,25.1,39.0,26.8,34.7,32.6,5.4,57.9,81.4,7.612950422458931,30.7,37.93,13.71,1.1370374547895128,Cuyo,10.8
Misiones,13.7,25.7,57.5,15.8,36.7,31.2,11.5,45.3,68.3,15.64797179760557,35.7,46.64,42.7,1.6304278750250238,Noreste,9.6
Neuquén,13.9,28.0,43.2,22.0,39.2,31.0,6.7,46.3,77.0,10.356527517244219,27.1,31.51,7.52,0.8762178405916422,Patagonia,9.9
Río Negro,12.8,30.0,49.6,21.3,31.2,23.2,4.6,45.2,79.3,9.424717228361004,29.7,34.61,3.71,0.5693739096150459,Patagonia,9.4
Salta,10.8,26.5,52.6,23.0,28.3,38.7,3.0,54.3,61.2,19.41399761169336,37.7,47.87,9.29,0.9680157139936417,Noroeste,9.2
San Juan,15.9,34.4,23.2,21.5,32.8,32.1,1.4,58.7,80.8,10.242443058338743,33.1,44.64,9.31,0.9689496809813426,Cuyo,9.2
San Luis,17.3,23.9,38.9,20.8,40.9,34.8,2.8,50.1,78.1,7.878066844203527,31.3,36.97,7.19,0.8567288903828826,Cuyo,9.8
Santa Cruz,14.3,34.0,54.7,27.1,33.5,37.2,6.4,70.0,76.0,8.22201770257714,18.6,16.96,1.38,0.13987908640123647,Patagonia,9.2
Santa Fe,13.5,28.3,34.5,21.5,36.2,25.6,6.6,65.9,89.3,6.434409055878381,33.1,30.72,26.6,1.424881636631067,Pampeana y GBA,8.2
Santiago del Estero,13.7,29.9,54.6,16.6,38.3,28.9,1.9,59.7,60.6,17.624584336658643,38.9,56.04,7.75,0.8893017025063102,Noroeste,12.5
Tierra del Fuego,15.9,26.1,38.7,24.9,33.9,31.8,7.7,70.0,78.8,14.2422445836328,17.9,15.34,8.6,0.9344984512435677,Patagonia,12.2
Tucumán,13.3,26.9,50.7,23.0,36.7,33.5,1.0,50.6,76.9,13.280313020638307,32.2,34.47,76.65,1.884512159190394,Noroeste,9.5
