provincia,region,tasa_diabetes_pct,brecha_tratamiento_pct,medicion_glucemia_pct,obesidad_pct,inactividad_fisica_pct,pobreza_personas_pct,sin_cobertura_salud_pct,nbi_2010_pct
San Luis,Cuyo,17.3,49.9,78.1,23.9,38.9,31.3,36.97,7.878066844203527
San Juan,Cuyo,15.9,41.3,80.8,34.4,23.2,33.1,44.64,10.242443058338743
Tierra del Fuego,Patagonia,15.9,30.0,78.8,26.1,38.7,17.9,15.34,14.2422445836328
La Rioja,Noroeste,15.1,33.8,66.6,28.1,61.2,30.5,41.54,12.2406778488864
La Pampa,Pampeana y GBA,14.6,67.3,76.0,25.8,56.2,32.1,32.05,3.788286865910062
Santa Cruz,Patagonia,14.3,30.0,76.0,34.0,54.7,18.6,16.96,8.22201770257714
Neuquén,Patagonia,13.9,53.7,77.0,28.0,43.2,27.1,31.51,10.35652751724422
Córdoba,Pampeana y GBA,13.7,48.2,81.8,24.5,46.9,32.9,34.17,6.005564800071329
Santiago del Estero,Noroeste,13.7,40.3,60.6,29.9,54.6,38.9,56.04,17.624584336658643
Misiones,Noreste,13.7,54.7,68.3,25.7,57.5,35.7,46.64,15.64797179760557
Santa Fe,Pampeana y GBA,13.5,34.099999999999994,89.3,28.3,34.5,33.1,30.72,6.434409055878381
Tucumán,Noroeste,13.3,49.4,76.9,26.9,50.7,32.2,34.47,13.280313020638308
Corrientes,Noreste,13.3,55.8,69.8,24.1,40.2,49.3,43.76,15.096509669637822
Buenos Aires,Pampeana y GBA,13.1,50.4,79.6,25.5,46.0,29.94,35.1,8.14096156496191
Río Negro,Patagonia,12.8,54.8,79.3,30.0,49.6,29.7,34.61,9.424717228361004
Mendoza,Cuyo,12.7,42.1,81.4,25.1,39.0,30.7,37.93,7.612950422458931
Chubut,Patagonia,12.4,61.7,71.8,26.7,34.3,28.65,27.84,8.44620770395633
Formosa,Noreste,12.1,37.4,61.1,25.7,69.1,32.5,55.88,19.73086819241214
Catamarca,Noroeste,11.5,44.2,67.9,29.5,58.1,35.5,40.67,11.3450900511453
Entre Ríos,Pampeana y GBA,10.8,40.5,76.6,25.0,40.0,35.65,35.64,8.048336403453819
Salta,Noroeste,10.8,45.7,61.2,26.5,52.6,37.7,47.87,19.41399761169336
Chaco,Noreste,10.3,45.8,60.3,20.0,57.3,41.4,52.22,18.1621666863138
Jujuy,Noroeste,8.9,51.3,71.3,31.1,29.4,31.7,46.24,15.462978869610032
CABA,Pampeana y GBA,8.8,44.7,92.9,17.0,32.4,12.6,16.31,5.983824493493802
