fips,estado,n,tasa_diabetes_pct,indice_ruralidad,sin_cobertura_salud_pct,secundario_incompleto_pct,barrera_costo_medico_pct,obesidad_pct,inactividad_fisica_pct,pobreza_ingresos_pct
1,Alabama,7950,13.57,0.287,13.09,16.68,16.51,35.63,31.9,23.88
2,Alaska,3657,7.8,0.385,14.88,9.81,13.6,29.83,21.95,13.57
4,Arizona,7946,10.19,0.04,14.06,15.07,15.32,28.42,24.71,21.09
5,Arkansas,5256,12.7,0.483,12.28,15.98,15.49,34.49,34.16,26.56
6,California,12601,10.22,0.05,11.38,18.4,12.17,24.18,19.95,22.7
8,Colorado,13537,6.8,0.123,10.83,10.52,11.62,20.2,17.86,13.15
9,Connecticut,11899,9.35,0.073,7.21,11.41,10.95,25.26,23.47,15.17
10,Delaware,4070,11.67,0.0,8.18,12.86,11.31,29.67,29.41,14.65
11,District of Columbia,3994,8.56,0.0,6.01,11.32,8.84,22.14,19.44,20.69
12,Florida,9739,11.36,0.044,16.36,14.23,17.05,26.8,26.22,20.42
13,Georgia,4678,11.38,0.26,17.39,15.93,15.62,30.68,27.31,21.42
15,Hawaii,7163,8.6,0.224,7.15,9.25,8.23,22.69,22.46,14.99
16,Idaho,5802,8.17,0.411,14.11,11.53,13.66,28.59,21.16,17.41
17,Illinois,5289,10.01,0.164,9.41,12.91,11.14,30.79,24.84,17.46
18,Indiana,6067,11.51,0.249,11.6,13.45,14.33,31.27,29.42,19.69
19,Iowa,6227,8.84,0.506,6.34,9.27,7.21,32.13,26.32,13.6
20,Kansas,23236,9.8,0.341,12.81,10.97,11.04,34.2,26.53,15.02
21,Kentucky,8806,13.54,0.507,6.95,16.72,12.31,34.58,32.49,23.0
22,Louisiana,4716,12.87,0.174,15.45,17.69,16.29,36.2,31.93,24.18
23,Maine,9063,9.94,0.447,9.66,8.99,9.39,30.01,24.78,17.59
24,Maryland,12598,10.4,0.029,8.66,11.65,10.77,28.89,24.09,13.52
25,Massachusetts,9294,9.01,0.024,5.07,11.05,8.57,24.26,26.47,14.48
26,Michigan,8935,10.77,0.222,9.88,11.1,12.69,31.16,25.49,17.9
27,Minnesota,16761,7.65,0.289,6.18,8.66,8.41,26.13,21.76,11.51
28,Mississippi,6035,14.8,0.638,17.69,18.54,18.73,35.6,36.83,29.41
29,Missouri,7307,11.55,0.298,12.05,12.3,13.76,32.36,27.02,17.9
30,Montana,6051,7.89,0.718,11.98,8.45,11.33,23.58,22.49,16.62
31,Nebraska,17561,8.86,0.382,11.76,10.12,11.47,31.39,25.35,15.04
32,Nevada,2926,9.77,0.123,14.49,16.18,15.08,26.72,24.67,17.5
33,New Hampshire,7022,8.17,0.388,7.19,8.51,8.77,26.33,22.64,11.24
34,New Jersey,11465,9.09,0.0,11.36,12.32,12.34,25.58,27.22,13.65
35,New Mexico,6734,11.57,0.374,11.12,17.13,13.56,28.83,22.63,25.51
36,New York,12357,9.88,0.085,10.06,14.95,12.06,25.02,29.32,20.68
37,North Carolina,6698,10.75,0.298,15.36,15.18,15.48,30.08,26.17,21.15
38,North Dakota,4972,8.79,0.625,8.37,8.84,7.67,30.99,26.8,12.47
39,Ohio,11929,11.12,0.248,8.37,11.89,10.65,29.76,27.04,17.57
40,Oklahoma,6943,11.82,0.331,13.62,14.16,15.21,33.87,33.21,21.0
41,Oregon,5359,10.79,0.192,8.17,11.25,12.88,30.06,18.75,18.63
42,Pennsylvania,5740,10.49,0.177,8.21,11.56,11.62,29.99,27.8,14.11
44,Rhode Island,6206,9.15,0.0,7.81,14.93,10.27,25.98,28.07,17.56
45,South Carolina,11607,11.91,0.179,14.03,15.52,16.41,31.72,26.72,22.0
46,South Dakota,7221,9.39,0.58,8.54,10.56,7.81,30.4,21.45,14.73
47,Tennessee,5979,12.81,0.267,13.38,15.26,15.52,33.77,30.36,21.44
48,Texas,14697,11.52,0.142,23.38,18.77,18.26,32.39,29.47,20.96
49,Utah,11401,7.13,0.144,11.57,9.74,12.62,24.46,20.27,11.58
50,Vermont,6489,8.29,0.707,6.09,8.36,7.6,25.14,22.23,14.12
51,Virginia,8646,10.49,0.17,10.81,12.48,12.12,29.23,25.15,14.78
53,Washington,16116,8.5,0.124,9.9,10.83,11.08,26.44,18.97,14.06
54,West Virginia,5957,14.53,0.454,7.57,15.86,13.81,35.59,30.83,23.47
55,Wisconsin,6188,8.4,0.367,7.43,9.91,9.25,30.68,21.64,14.77
56,Wyoming,5492,8.45,0.688,14.0,8.62,11.66,29.0,26.16,13.94
