pais,iso3,prevalencia_diabetes_pct,prevalencia_2011_pct,poblacion_rural_pct,gasto_bolsillo_salud_pct,pib_per_capita_usd,poblacion_65mas_pct,cambio_2011_2024_pp
Afghanistan,AFG,11.7,7.6,74.06,77.14,417.0,2.43,4.1
Albania,ALB,10.6,2.8,41.13,48.27,12998.0,17.62,7.8
Algeria,DZA,17.5,7.0,24.18,45.0,6051.0,6.81,10.5
Andorra,AND,10.1,5.4,11.05,11.15,54292.0,16.56,4.7
Angola,AGO,4.9,2.9,28.54,32.55,3129.0,2.89,2.0
Antigua and Barbuda,ATG,11.6,12.5,75.67,20.81,24819.0,12.34,-0.9
Argentina,ARG,14.0,5.5,7.65,24.47,14898.0,12.63,8.5
Armenia,ARM,7.7,8.5,34.07,80.47,9474.0,14.44,-0.8
Australia,AUS,7.4,6.6,12.28,15.85,65130.0,18.09,0.8
Austria,AUT,5.4,6.6,30.28,16.46,62930.0,21.09,-1.2
Azerbaijan,AZE,10.2,2.8,41.36,64.63,7411.0,9.17,7.4
Bahamas,BHS,8.9,12.1,18.67,27.48,39455.0,12.09,-3.2
Bahrain,BHR,22.1,19.5,0.0,28.66,30597.0,4.02,2.6
Bangladesh,BGD,13.2,10.5,66.76,79.31,2597.0,6.67,2.7
Barbados,BRB,13.2,12.4,40.3,49.49,28365.0,17.09,0.8
Belarus,BLR,5.1,8.0,20.51,28.48,10279.0,18.28,-2.9
Belgium,BEL,5.9,4.8,12.33,21.51,60750.0,20.96,1.1
Belize,BLZ,14.1,17.0,58.44,26.78,7865.0,5.23,-2.9
Benin,BEN,8.1,2.0,46.64,42.41,1658.0,3.15,6.1
Bhutan,BTN,12.0,5.7,56.57,25.46,4493.0,6.63,6.3
Bolivia,BOL,3.4,6.6,28.44,27.32,5148.0,5.74,-3.2
Bosnia and Herzegovina,BIH,10.3,7.5,47.31,30.96,10382.0,22.86,2.8
Botswana,BWA,4.6,10.8,32.04,4.26,7778.0,4.08,-6.2
Brazil,BRA,10.6,10.1,11.82,26.23,10713.0,11.48,0.5
Brunei,BRN,13.7,9.4,24.99,7.41,32235.0,7.24,4.3
Bulgaria,BGR,7.4,6.7,25.83,35.5,20328.0,22.24,0.7
Burkina Faso,BFA,4.5,3.0,71.08,43.82,1148.0,2.68,1.5
Burundi,BDI,4.3,2.7,74.31,24.49,234.0,2.55,1.6
Cambodia,KHM,7.5,2.9,58.89,60.6,2872.0,6.38,4.6
Cameroon,CMR,6.9,6.1,44.33,67.65,1972.0,2.82,0.8
Canada,CAN,7.7,8.4,17.12,15.28,55698.0,20.26,-0.7
Cape Verde,CPV,6.8,5.4,22.37,25.74,5796.0,7.15,1.4
Central African Republic,CAF,7.6,3.2,55.45,45.02,556.0,2.2,4.4
Chad,TCD,7.3,3.9,72.43,51.68,1022.0,2.12,3.4
Chile,CHL,12.2,9.5,10.82,39.15,17995.0,14.59,2.7
China,CHN,11.9,8.8,33.66,32.17,13862.0,14.91,3.1
Colombia,COL,8.4,9.8,21.22,14.74,8562.0,10.2,-1.4
Comoros,COM,10.8,8.4,66.06,56.57,2056.0,4.45,2.4
Congo,COG,8.1,5.5,35.88,27.97,2515.0,3.06,2.6
Costa Rica,CRI,9.8,9.6,20.27,24.13,19970.0,12.75,0.2
Cote d'Ivoire,CIV,5.0,4.9,45.45,31.99,3050.0,2.65,0.1
Croatia,HRV,10.5,5.2,42.19,9.38,27104.0,23.61,5.3
Cuba,CUB,9.4,9.4,22.77,16.58,9605.0,17.04,0.0
Cyprus,CYP,10.0,9.3,33.3,17.94,41783.0,14.93,0.7
Czechia,CZE,7.6,5.3,27.12,14.06,35917.0,21.18,2.3
Democratic Republic of Congo,COD,7.7,3.1,54.89,38.0,807.0,3.08,4.6
Denmark,DNK,6.4,5.6,11.15,13.87,76970.0,21.12,0.8
Djibouti,DJI,6.5,6.3,27.02,28.84,3906.0,4.97,0.2
Dominica,DMA,12.9,8.9,26.01,29.33,10989.0,13.2,4.0
Dominican Republic,DOM,17.6,8.1,27.48,25.06,11059.0,8.19,9.5
