Entity,Code,Year,Diabetes prevalence (% of population ages 20 to 79)
Afghanistan,AFG,2011,7.6
Afghanistan,AFG,2024,11.7
Albania,ALB,2011,2.8
Albania,ALB,2024,10.6
Algeria,DZA,2011,7
Algeria,DZA,2024,17.5
Andorra,AND,2011,5.4
Andorra,AND,2024,10.1
Angola,AGO,2011,2.9
Angola,AGO,2024,4.9
Antigua and Barbuda,ATG,2011,12.5
Antigua and Barbuda,ATG,2024,11.6
Argentina,ARG,2011,5.5
Argentina,ARG,2024,14
Armenia,ARM,2011,8.5
Armenia,ARM,2024,7.7
Aruba,ABW,2000,12.1
Aruba,ABW,2011,12.4
Aruba,ABW,2024,4.6
Australia,AUS,2000,0
Australia,AUS,2011,6.6
Australia,AUS,2024,7.4
Austria,AUT,2011,6.6
Austria,AUT,2024,5.4
Azerbaijan,AZE,2011,2.8
Azerbaijan,AZE,2024,10.2
Bahamas,BHS,2011,12.1
Bahamas,BHS,2024,8.9
Bahrain,BHR,2000,14.8
Bahrain,BHR,2011,19.5
Bahrain,BHR,2024,22.1
Bangladesh,BGD,2011,10.5
Bangladesh,BGD,2024,13.2
Barbados,BRB,2000,13.2
Barbados,BRB,2011,12.4
Barbados,BRB,2024,13.2
Belarus,BLR,2011,8
Belarus,BLR,2024,5.1
Belgium,BEL,2011,4.8
Belgium,BEL,2024,5.9
Belize,BLZ,2011,17
Belize,BLZ,2024,14.1
Benin,BEN,2011,2
Benin,BEN,2024,8.1
Bermuda,BMU,2000,12.1
Bermuda,BMU,2011,12
Bermuda,BMU,2024,13.4
Bhutan,BTN,2011,5.7
Bhutan,BTN,2024,12
Bolivia,BOL,2011,6.6
Bolivia,BOL,2024,3.4
Bosnia and Herzegovina,BIH,2011,7.5
Bosnia and Herzegovina,BIH,2024,10.3
Botswana,BWA,2011,10.8
Botswana,BWA,2024,4.6
Brazil,BRA,2011,10.1
Brazil,BRA,2024,10.6
Brunei,BRN,2011,9.4
Brunei,BRN,2024,13.7
Bulgaria,BGR,2011,6.7
