Jurisdicción,Región,Diabetes (%),CV Diabetes (%),Tratamiento (%),Screening Glucemia (%),Obesidad (%),Presión Elevada (%),Sedentarismo (%),Sin Cobertura Salud (%),Pobreza EPH (%),NBI (%)
Santa Cruz,Patagonia,14.3,9.2,70.0,76.0,34.0,33.5,54.7,16.96,18.6,8.22201770257714
Tierra del Fuego,Patagonia,15.9,12.2,70.0,78.8,26.1,33.9,38.7,15.34,17.9,14.2422445836328
La Rioja,Noroeste,15.1,12.3,66.2,66.6,28.1,33.9,61.2,41.54,30.5,12.2406778488864
Santa Fe,Pampeana y GBA,13.5,8.2,65.9,89.3,28.3,36.2,34.5,30.72,33.1,6.434409055878381
Formosa,Noreste,12.1,10.3,62.6,61.1,25.7,52.2,69.1,55.88,32.5,19.73086819241214
Santiago del Estero,Noroeste,13.7,12.5,59.7,60.6,29.9,38.3,54.6,56.04,38.9,17.624584336658643
Entre Ríos,Pampeana y GBA,10.8,6.9,59.5,76.6,25.0,39.5,40.0,35.64,35.65,8.048336403453819
San Juan,Cuyo,15.9,9.2,58.7,80.8,34.4,32.8,23.2,44.64,33.1,10.242443058338743
Mendoza,Cuyo,12.7,10.8,57.9,81.4,25.1,34.7,39.0,37.93,30.7,7.612950422458931
Catamarca,Noroeste,11.5,11.6,55.8,67.9,29.5,35.8,58.1,40.67,35.5,11.3450900511453
CABA,Pampeana y GBA,8.8,10.2,55.3,92.9,17.0,26.6,32.4,16.31,12.6,5.983824493493802
Salta,Noroeste,10.8,9.2,54.3,61.2,26.5,28.3,52.6,47.87,37.7,19.41399761169336
Chaco,Noreste,10.3,11.2,54.2,60.3,20.0,36.9,57.3,52.22,41.4,18.1621666863138
Córdoba,Pampeana y GBA,13.7,8.3,51.8,81.8,24.5,34.4,46.9,34.17,32.9,6.005564800071329
Tucumán,Noroeste,13.3,9.5,50.6,76.9,26.9,36.7,50.7,34.47,32.2,13.280313020638308
San Luis,Cuyo,17.3,9.8,50.1,78.1,23.9,40.9,38.9,36.97,31.3,7.878066844203527
Buenos Aires,Pampeana y GBA,13.1,5.3,49.6,79.6,25.5,35.3,46.0,35.1,29.94,8.14096156496191
Jujuy,Noroeste,8.9,11.7,48.7,71.3,31.1,26.7,29.4,46.24,31.7,15.462978869610032
Neuquén,Patagonia,13.9,9.9,46.3,77.0,28.0,39.2,43.2,31.51,27.1,10.35652751724422
Misiones,Noreste,13.7,9.6,45.3,68.3,25.7,36.7,57.5,46.64,35.7,15.64797179760557
Río Negro,Patagonia,12.8,9.4,45.2,79.3,30.0,31.2,49.6,34.61,29.7,9.424717228361004
Corrientes,Noreste,13.3,9.8,44.2,69.8,24.1,40.2,40.2,43.76,49.3,15.096509669637822
Chubut,Patagonia,12.4,11.2,38.3,71.8,26.7,30.4,34.3,27.84,28.65,8.44620770395633
La Pampa,Pampeana y GBA,14.6,12.0,32.7,76.0,25.8,35.4,56.2,32.05,32.1,3.788286865910062
