sexo,anio,prevalencia_18mas_pct,tratados_pct
Men,1990,6.79,29.29
Men,1991,6.92,29.5
Men,1992,7.06,29.72
Men,1993,7.2,29.95
Men,1994,7.35,30.19
Men,1995,7.49,30.43
Men,1996,7.65,30.68
Men,1997,7.8,30.95
Men,1998,7.96,31.23
Men,1999,8.14,31.52
Men,2000,8.32,31.82
Men,2001,8.51,32.15
Men,2002,8.72,32.5
Men,2003,8.93,32.87
Men,2004,9.14,33.25
Men,2005,9.36,33.65
Men,2006,9.59,34.06
Men,2007,9.82,34.48
Men,2008,10.05,34.91
Men,2009,10.28,35.36
Men,2010,10.5,35.82
Men,2011,10.72,36.28
Men,2012,10.95,36.74
Men,2013,11.19,37.18
Men,2014,11.45,37.59
Men,2015,11.74,37.96
Men,2016,12.06,38.29
Men,2017,12.4,38.57
Men,2018,12.74,38.81
Men,2019,13.11,39.03
Men,2020,13.5,39.26
Men,2021,13.91,39.49
Men,2022,14.34,39.72
Women,1990,6.86,30.79
Women,1991,7.0,31.02
Women,1992,7.14,31.25
Women,1993,7.28,31.48
Women,1994,7.41,31.72
Women,1995,7.54,31.95
Women,1996,7.67,32.18
Women,1997,7.78,32.42
Women,1998,7.9,32.66
Women,1999,8.01,32.91
Women,2000,8.13,33.18
Women,2001,8.25,33.46
Women,2002,8.38,33.76
Women,2003,8.52,34.06
Women,2004,8.67,34.38
Women,2005,8.83,34.72
Women,2006,9.0,35.06
Women,2007,9.18,35.41
Women,2008,9.36,35.77
Women,2009,9.55,36.14
Women,2010,9.75,36.51
Women,2011,9.96,36.89
Women,2012,10.18,37.26
Women,2013,10.42,37.6
Women,2014,10.69,37.93
Women,2015,11.0,38.22
Women,2016,11.35,38.48
Women,2017,11.72,38.72
Women,2018,12.11,38.93
Women,2019,12.52,39.13
Women,2020,12.97,39.33
Women,2021,13.44,39.52
Women,2022,13.94,39.7
